address,id,balance
bitcoinaddress_D655B65519DCA2553AADE471971DDBFC7F531AD1,688303883,7225500000000000
bitcoinaddress_0D13E2A0DCFD6C97765C4DBD6B7A32709F56C796,723617872,7190000000000000
bitcoinaddress_3630B77E34B1CE0CE6709311AB858FB12F28E235,651559226,4882838393938273
bitcoinaddress_51B57F841E011AF81A4F99DDD181088C81B102AF,373607583,4796426051629631
bitcoinaddress_39BD2435AB7D89F2E2D7459EB9DA1321075717C4,474733955,4052000000000000
bitcoinaddress_E5180F1FA2B9B556B062569C0296905AF3776156,100092570,4050500000000000
bitcoinaddress_29C4379896D1F89567EDD7661BDD70C915B8FC10,804910064,2856000000000000
bitcoinaddress_FFB5E42E37109ADD0F7D14E605626348DF8A6968,570795846,2127770763100843
bitcoinaddress_24B20439B3977F83AB384285D1B252C05D91BD27,29274245,2109080000000000
bitcoinaddress_E980860C729DB297BEA989FEBBCFE0C4E97AD7E5,566804109,1918931759000000
bitcoinaddress_4B7CEADACAEF5A9E6CAB98AA583B81FA68003413,155248923,1908000000000000
bitcoinaddress_6D66284CD168776D60D0A98F25B147589BD9ED36,464423578,1882136482000000
bitcoinaddress_EF6A87DFA8FE02E20F61D386D48427E94E645E3B,37771717,1527631995000000
bitcoinaddress_F1EDBB36D1E7DBE53E265021ECB54DD7F9A348EE,38490794,1403000000000000
bitcoinaddress_37C716564A2CBDD7EC695F66E1EC6514A91FEFB1,132011571,1194500000000000
bitcoinaddress_1246F2887A49D5B64F13E94479DE68F3F99C79CB,637979369,1190500000000000
bitcoinaddress_9B8DCD82AFB9184A6D8264E5313A24F840B94142,610187026,1190121450796995
bitcoinaddress_B483AC1A4BEA4E9149AA177FC71DDE15AE5ADB83,75940277,1160002000000000
bitcoinpubkey_410431D9DD452B73CF3B85F9955C0902F994B0D3DC3350EF6DA4A83A7747045D44002C0B20C3622D62AFFA44393038F9409E388C675D2E1118E65D30027A57170EF1,637846331,1137000000000000
bitcoinaddress_10D722E40E55AE5C2589E5C08C679AF69FFC2572,35418983,760852720000000
bitcoinaddress_951D69F95B2BC9CEB2CFA5B446FF62665226EAD2,832994609,728009000000000
bitcoinaddress_DB44C017339E72E97C2E8251329928239C486FF8,512545968,723383726000000
bitcoinpubkey_41040ADB6790B8CBCF397DA581E78B42C469672A2BF2906032A6BA85C1BF28FACCF99AD4B8128B92B6B7D89F905F78F81542BF52D4FFB03324FD80F93B7AD039AB13,492788360,723336756000000
