degree,count
3,8040002
6,1467229
4,1374759
10,1280928
8,1211295
1,1070575
2,1028652
7,826948
9,769264
5,618374
11,612039
12,590669
13,408850
15,400520
14,335765
16,331352
17,249779
18,245221
19,196862
20,190487
21,177992
22,152394
24,132612
23,128440
25,117240
26,105742
27,99043
28,90731
30,82475
29,78275
31,70914
32,66361
33,63769
34,57492
42,54340
36,53354
35,53211
37,47164
38,44011
39,42844
40,40846
41,38147
43,33122
44,30628
45,30617
46,28619
48,26727
47,26234
49,24346
50,23780
51,22934
52,21549
53,20865
54,20527
55,18784
56,18491
57,17926
58,16696
60,16224
59,16042
61,15080
63,14322
62,14272
64,13579
66,13522
65,13095
67,11969
68,11768
69,11728
70,11254
72,10688
71,10639
73,10206
75,9945
74,9892
78,9384
76,9195
77,8791
79,8618
80,8325
81,8292
84,8277
82,8121
83,7339
85,7338
86,7150
87,7018
88,7005
90,6682
91,6449
89,6422
93,6262
92,6151
96,5854
102,5854
94,5794
95,5709
98,5618
103,5510
99,5381
